"large_family" "gene_transcript" "count_missense_nonsense_per_gene"
"80" "PH" "SMEST032646002.1" 2
"81" "PH" "MSTRG.10674.5" 2
"82" "PH" "MSTRG.10681.1" 2
"83" "PH" "SMEST032676001.1" 2
"84" "PH" "SMEST035028001.1" 2
"85" "PH" "SMEST035045001.1" 2
"86" "PH" "SMEST035134001.1" 2
"87" "PH" "SMEST035184001.1" 2
"88" "PH" "SMEST035238001.1" 2
"89" "PH" "SMEST035418001.1" 2
"90" "PH" "MSTRG.13557.2" 2
"91" "PH" "SMEST044931001.1" 2
"92" "PH" "SMEST045978001.1" 2
"93" "PH" "SMEST049955002.1" 2
"94" "PH" "MSTRG.17650.4" 2
"95" "PH" "SMEST062806002.1" 2
"96" "PH" "SMEST062835001.1" 2
"97" "PH" "SMEST062836001.1" 2
"98" "PH" "SMEST065597001.1" 2
"99" "PH" "SMEST065558001.1" 2
"100" "PH" "SMEST066991002.1" 2
"101" "PH" "MSTRG.20313.2" 2
"102" "PH" "SMEST072512001.1" 2
"103" "PH" "MSTRG.21209.5" 2
"104" "PH" "SMEST079614001.1" 2
"105" "PH" "SMEST013101002.1" 2
"106" "PH" "SMEST030145001.1" 2
"107" "PH" "SMEST039967002.1" 2
"108" "PH" "MSTRG.9879.2" 2
"109" "PH" "MSTRG.10841.1" 2
"110" "PH" "SMEST055035001.1" 2
"111" "PH" "MSTRG.8513.3" 2
"112" "PH" "SMEST030735001.1" 2
"113" "PH" "SMEST077210001.1" 2
"114" "PH" "SMEST025865001.1" 1
"115" "PH" "MSTRG.16.1" 1
"116" "PH" "MSTRG.17.1" 1
"117" "PH" "MSTRG.18.3" 1
"118" "PH" "SMEST026672001.1" 1
"119" "PH" "SMEST026828001.1" 1
"120" "PH" "SMEST027028001.1" 1
"121" "PH" "SMEST027161004.1" 1
"122" "PH" "SMEST025654001.1" 1
"123" "PH" "MSTRG.64.2" 1
"124" "PH" "SMEST025545011.1" 1
"125" "PH" "SMEST000309001.1" 1
"126" "PH" "SMEST000522002.1" 1
"127" "PH" "MSTRG.1079.1" 1
"128" "PH" "SMEST000553001.1" 1
"129" "PH" "MSTRG.1222.3" 1
"130" "PH" "MSTRG.1481.1" 1
"131" "PH" "MSTRG.1912.2" 1
"132" "PH" "SMEST003549001.1" 1
"133" "PH" "SMEST003551001.1" 1
"134" "PH" "SMEST005005001.1" 1
"135" "PH" "SMEST013345001.1" 1
"136" "PH" "MSTRG.6198.1" 1
"137" "PH" "SMEST020495001.1" 1
"138" "PH" "SMEST022929001.1" 1
"139" "PH" "SMEST022963001.1" 1
"140" "PH" "SMEST024172002.1" 1
"141" "PH" "MSTRG.8595.1" 1
"142" "PH" "MSTRG.8800.19" 1
"143" "PH" "SMEST042755001.1" 1
"144" "PH" "SMEST030625001.1" 1
"145" "PH" "SMEST030961001.1" 1
"146" "PH" "SMEST029650001.1" 1
"147" "PH" "SMEST029655001.1" 1
"148" "PH" "MSTRG.9918.2" 1
"149" "PH" "SMEST031900001.1" 1
"150" "PH" "MSTRG.10241.1" 1
"151" "PH" "SMEST031406002.1" 1
"152" "PH" "SMEST032625001.1" 1
"153" "PH" "MSTRG.10659.3" 1
"154" "PH" "MSTRG.10673.2" 1
"155" "PH" "MSTRG.10767.1" 1
"156" "PH" "MSTRG.10850.1" 1
"157" "PH" "SMEST034758001.1" 1
"158" "PH" "MSTRG.10926.2" 1
"159" "PH" "SMEST035035001.1" 1
"160" "PH" "SMEST035036001.1" 1
"161" "PH" "SMEST035040001.1" 1
"162" "PH" "SMEST035046001.1" 1
"163" "PH" "MSTRG.11010.1" 1
"164" "PH" "SMEST035058001.1" 1
"165" "PH" "SMEST035077001.1" 1
"166" "PH" "SMEST035096001.1" 1
"167" "PH" "MSTRG.11022.2" 1
"168" "PH" "MSTRG.11023.3" 1
"169" "PH" "MSTRG.11026.1" 1
"170" "PH" "SMEST035129001.1" 1
"171" "PH" "SMEST035132001.1" 1
"172" "PH" "SMEST035155002.1" 1
"173" "PH" "MSTRG.11046.2" 1
"174" "PH" "SMEST035189002.1" 1
"175" "PH" "SMEST035193001.1" 1
"176" "PH" "MSTRG.11055.5" 1
"177" "PH" "SMEST035201001.1" 1
"178" "PH" "SMEST035204001.1" 1
"179" "PH" "SMEST035255001.1" 1
"180" "PH" "SMEST035291001.1" 1
"181" "PH" "MSTRG.11082.4" 1
"182" "PH" "SMEST035313002.1" 1
"183" "PH" "MSTRG.11084.2" 1
"184" "PH" "MSTRG.11100.3" 1
"185" "PH" "SMEST035423001.1" 1
"186" "PH" "MSTRG.11150.5" 1
"187" "PH" "MSTRG.11212.14" 1
"188" "PH" "SMEST043491001.1" 1
"189" "PH" "SMEST043504001.1" 1
"190" "PH" "SMEST043519001.1" 1
"191" "PH" "SMEST043534001.1" 1
"192" "PH" "SMEST043541001.1" 1
"193" "PH" "SMEST043544001.1" 1
"194" "PH" "MSTRG.13586.2" 1
"195" "PH" "MSTRG.13737.1" 1
"196" "PH" "MSTRG.14195.2" 1
"197" "PH" "SMEST044930003.1" 1
"198" "PH" "SMEST046617004.1" 1
"199" "PH" "SMEST049719001.1" 1
"200" "PH" "SMEST049852001.1" 1
"201" "PH" "SMEST049959002.1" 1
"202" "PH" "SMEST055705001.1" 1
"203" "PH" "SMEST057448002.1" 1
"204" "PH" "SMEST060292001.1" 1
"205" "PH" "SMEST062707001.1" 1
"206" "PH" "MSTRG.18717.1" 1
"207" "PH" "MSTRG.18715.1" 1
"208" "PH" "SMEST062727001.1" 1
"209" "PH" "MSTRG.18726.5" 1
"210" "PH" "MSTRG.18732.4" 1
"211" "PH" "SMEST062756001.1" 1
"212" "PH" "MSTRG.18762.1" 1
"213" "PH" "MSTRG.18766.1" 1
"214" "PH" "SMEST062807001.1" 1
"215" "PH" "SMEST062838001.1" 1
"216" "PH" "MSTRG.19471.5" 1
"217" "PH" "MSTRG.19472.5" 1
"218" "PH" "SMEST065539003.1" 1
"219" "PH" "SMEST065556005.1" 1
"220" "PH" "SMEST065607001.1" 1
"221" "PH" "SMEST065648001.1" 1
"222" "PH" "SMEST065771001.1" 1
"223" "PH" "SMEST067330002.1" 1
"224" "PH" "SMEST067157001.1" 1
"225" "PH" "SMEST067021004.1" 1
"226" "PH" "SMEST067066001.1" 1
"227" "PH" "SMEST067391002.1" 1
"228" "PH" "SMEST072523001.1" 1
"229" "PH" "MSTRG.21208.3" 1
"230" "PH" "MSTRG.21209.1" 1
"231" "PH" "SMEST072312002.1" 1
"232" "PH" "MSTRG.21210.5" 1
"233" "PH" "SMEST074826001.1" 1
"234" "PH" "SMEST075822003.1" 1
"235" "PH" "SMEST081424002.1" 1
"236" "PH" "SMEST079489001.1" 1
"237" "PH" "MSTRG.23261.1" 1
"238" "PH" "MSTRG.23283.4" 1
"239" "PH" "MSTRG.23281.1" 1
"240" "PH" "MSTRG.679.1" 1
"241" "PH" "SMEST009367001.1" 1
"242" "PH" "SMEST008192001.1" 1
"243" "PH" "MSTRG.5440.1" 1
"244" "PH" "SMEST017973001.1" 1
"245" "PH" "MSTRG.6665.1" 1
"246" "PH" "MSTRG.7876.1" 1
"247" "PH" "MSTRG.8078.1" 1
"248" "PH" "SMEST042513001.1" 1
"249" "PH" "SMEST028865005.1" 1
"250" "PH" "MSTRG.10163.7" 1
"251" "PH" "MSTRG.10913.1" 1
"252" "PH" "SMEST036051002.1" 1
"253" "PH" "SMEST043792001.1" 1
"254" "PH" "SMEST044524006.1" 1
"255" "PH" "SMEST047594001.1" 1
"256" "PH" "SMEST050553001.1" 1
"257" "PH" "SMEST063214002.1" 1
"258" "PH" "SMEST066258001.1" 1
"259" "PH" "MSTRG.20649.4" 1
"260" "PH" "SMEST075964001.1" 1
"261" "PH" "SMEST000119004.1" 1
"262" "PH" "SMEST004535001.1" 1
"263" "PH" "MSTRG.3340.1" 1
"264" "PH" "SMEST009873001.1" 1
"265" "PH" "MSTRG.6372.4" 1
"266" "PH" "SMEST020356005.1" 1
"267" "PH" "MSTRG.7796.1" 1
"268" "PH" "SMEST031908002.1" 1
"269" "PH" "SMEST037351002.1" 1
"270" "PH" "SMEST044282002.1" 1
"271" "PH" "MSTRG.14111.31" 1
"272" "PH" "SMEST058440001.1" 1
"273" "PH" "SMEST063810001.1" 1
"274" "PH" "SMEST066313001.1" 1
"275" "PH" "SMEST068156001.1" 1
"276" "PH" "MSTRG.1396.1" 1
"277" "PH" "SMEST003494001.1" 1
"278" "PH" "MSTRG.4400.5" 1
"279" "PH" "MSTRG.8893.2" 1
"280" "PH" "MSTRG.8891.2" 1
"281" "PH" "SMEST033795001.1" 1
"282" "PH" "SMEST039958001.1" 1
"283" "PH" "MSTRG.12528.3" 1
"284" "PH" "MSTRG.15746.1" 1
"285" "PH" "SMEST053446003.1" 1
"286" "PH" "SMEST053338006.1" 1
"287" "PH" "MSTRG.17007.1" 1
"288" "PH" "MSTRG.18965.2" 1
"289" "PH" "SMEST019713001.1" 1
"290" "PH" "MSTRG.12770.2" 1
"291" "PH" "SMEST040856001.1" 1
"292" "PH" "SMEST044056003.1" 1
"293" "PH" "SMEST048717001.1" 1
"294" "PH" "SMEST053146001.1" 1
"295" "PH" "SMEST056035002.1" 1
"296" "PH" "SMEST068971011.1" 1
"297" "PH" "SMEST067334001.1" 1
"298" "PH" "SMEST076469004.1" 1
"299" "PH" "SMEST005445002.1" 1
"300" "PH" "SMEST009171001.1" 1
"301" "PH" "SMEST010790001.1" 1
"302" "PH" "SMEST019093002.1" 1
"303" "PH" "SMEST042437001.1" 1
"304" "PH" "SMEST042446001.1" 1
"305" "PH" "SMEST041025001.1" 1
"306" "PH" "SMEST051710002.1" 1
"307" "PH" "MSTRG.14945.5" 1
"308" "PH" "SMEST057252001.1" 1
"309" "PH" "SMEST073554001.1" 1
"310" "PH" "MSTRG.22133.1" 1
"311" "PH" "SMEST080965001.1" 1
